date,net_value
2022-05-12,100000.0
2022-05-13,99975.134705
2022-05-16,108801.26470500002
2022-05-17,118532.58470500002
2022-05-18,129164.87470500001
2022-05-19,140934.454705
2022-05-20,153765.364705
2022-05-23,167929.794705
2022-05-24,183543.794705
2022-05-25,200611.58470500002
2022-05-26,219523.514705
2022-05-27,240277.47470500003
2022-05-30,263033.82470500004
2022-05-31,288182.914705
2022-06-01,306191.764705
2022-06-10,302503.48470500007
2022-06-13,307487.304705
2022-06-14,319963.73470499995
2022-06-15,336677.044705
2022-06-16,329144.34470500005
2022-06-17,360885.07470500004
2022-06-20,395803.46470500005
2022-06-21,403886.87470499997
