date,net_value
2024-08-29,100000.0
2024-08-30,99975.1032775
2024-09-02,97119.1332775
2024-09-03,99622.93327750001
2024-09-04,98711.50327750001
2024-09-05,101336.98327750001
2024-09-06,100886.53327750001
2024-09-09,100193.89327750001
2024-09-10,101567.4732775
2024-09-11,101227.00327750001
2024-09-12,103280.3532775
2024-09-13,101567.4732775
2024-09-18,100315.57327750002
2024-09-19,119841.7032775
2024-09-20,143255.7432775
2024-09-23,153194.8932775
2024-09-24,183351.6432775
2024-09-25,219439.1232775
2024-09-26,262840.2732775
2024-09-27,314918.1432775
2024-09-30,377396.14327750006
2024-10-08,452327.6232775
2024-10-09,541755.4032775
2024-10-10,433606.5556525
2024-10-11,433606.5556525
2024-10-14,433498.8739525
2024-10-15,422719.27395249996
2024-10-16,506240.4739525
2024-10-17,505767.6739524999
2024-10-18,541034.4739524999
2024-10-21,531538.8739524998
2024-10-22,504579.8356525
2024-10-23,504579.8356525
2024-10-24,504579.8356525
2024-10-25,504453.82902249997
2024-10-28,604807.0290224999
2024-10-29,625023.9890224999
2024-10-30,676108.2690224999
2024-10-31,710363.2690224999
2024-11-01,571206.1435924999
2024-11-04,571064.0507424999
2024-11-05,633823.0007424998
2024-11-06,608564.4007424999
2024-11-07,645492.0507424999
2024-11-08,615408.0507424999
2024-11-11,591163.7507424998
2024-11-12,597672.7507424998
2024-11-13,569045.8007424999
2024-11-14,549400.3507424998
2024-11-15,559611.2007424999
2024-11-18,495144.03499249986
2024-11-19,495020.5815424999
2024-11-20,487538.34154249995
2024-11-21,551323.1415424999
2024-11-22,502449.52732249984
2024-11-25,502449.52732249984
2024-11-26,502449.52732249984
2024-11-27,502324.06439749984
2024-11-28,511637.22439749993
2024-11-29,547953.8843975
2024-12-02,532123.8443974999
2024-12-03,543605.7643974999
2024-12-04,566479.5043974998
2024-12-05,591831.5243974999
2024-12-06,560676.3560525
2024-12-09,560676.3560525
2024-12-10,560676.3560525
2024-12-11,560676.3560525
2024-12-12,560676.3560525
2024-12-13,560676.3560525
2024-12-16,560676.3560525
2024-12-17,560536.4018575
2024-12-18,547057.2618575
2024-12-19,529778.5218575
2024-12-20,539913.5418575
2024-12-23,500948.54857249995
2024-12-24,500948.54857249995
2024-12-25,500948.54857249995
2024-12-26,500948.54857249995
2024-12-27,500948.54857249995
2024-12-30,500948.54857249995
2024-12-31,500948.54857249995
2025-01-02,500948.54857249995
2025-01-03,500948.54857249995
2025-01-06,500948.54857249995
2025-01-07,500948.54857249995
2025-01-08,500948.54857249995
2025-01-09,500948.54857249995
2025-01-10,500948.54857249995
2025-01-13,500948.54857249995
2025-01-14,500823.77002249996
2025-01-15,520119.2900225
2025-01-16,539884.5100224998
2025-01-17,527621.0700224999
2025-01-20,534411.5900224999
2025-01-21,551439.1300225
2025-01-22,514856.5809024999
