date,net_value
2021-11-02,100000.0
2021-11-03,99975.0381575
2021-11-04,97798.3181575
2021-11-05,96711.5681575
2021-11-08,102773.2181575
2021-11-09,101374.1281575
2021-11-10,102773.2181575
2021-11-11,108369.5781575
2021-11-12,109147.2081575
2021-11-15,119716.85815750001
2021-11-16,131374.8681575
2021-11-17,144121.23815750002
2021-11-18,158266.6981575
2021-11-19,173811.24815750003
2021-11-22,190911.0581575
2021-11-23,209719.07815750001
2021-11-24,230394.6981575
2021-11-25,253089.2581575
2021-11-26,247025.99815750003
2021-11-29,271431.98815749993
2021-11-30,298167.6481575001
2021-12-01,327703.09815750003
2021-12-02,333610.1881575
