date,net_value
2024-04-01,100000.0
2024-04-02,99975.14088
2024-04-03,98476.30088
2024-04-08,94554.30088
2024-04-09,105281.50087999999
2024-04-10,114740.94088
2024-04-11,136082.98088
2024-04-12,161807.06088
2024-04-15,178996.02087999997
2024-04-16,201951.38088
2024-04-17,215563.90087999997
2024-04-18,245555.54088
2024-04-19,264591.02087999997
2024-04-22,283162.22088
2024-04-23,260473.92311000003
2024-04-24,260409.09730500003
2024-04-25,250762.00730500004
2024-04-26,271986.787305
2024-04-29,324834.00730500004
2024-04-30,370392.227305
2024-05-06,442854.737305
2024-05-14,426883.94730500004
2024-05-15,510709.41730500007
2024-05-16,496131.417305
2024-05-17,477158.347305
2024-05-20,457432.737305
2024-05-21,498060.047305
2024-05-22,498060.047305
2024-05-23,517998.417305
2024-05-24,586603.6673050001
2024-05-27,605791.4673049999
2024-05-28,502293.67432750005
2024-05-29,502293.67432750005
2024-05-30,502293.67432750005
2024-05-31,502168.61312750005
2024-06-03,461579.91230250004
2024-06-04,461464.6887025
2024-06-05,465082.2887025
2024-06-06,475317.5887025
2024-06-07,503644.68870249996
2024-06-11,499717.38870250003
2024-06-12,598346.3887024999
2024-06-13,485705.5641525
2024-06-14,485584.65285
2024-06-17,549910.98285
2024-06-18,554888.5828500001
2024-06-19,534575.5828500001
2024-06-20,520634.64285000006
2024-06-21,478953.38387250004
2024-06-24,478833.9832625
2024-06-25,460272.46326250007
2024-06-26,451795.30326250003
2024-06-27,409814.59597250004
2024-06-28,409814.59597250004
2024-07-01,409814.59597250004
2024-07-02,409712.8153475
2024-07-03,389714.8153475
2024-07-04,415997.8153475
2024-07-05,426526.3153475
2024-07-08,456317.8153475
2024-07-09,440645.8153475
2024-07-10,441871.3153475
2024-07-11,435830.8153475
2024-07-12,410140.42334750004
2024-07-15,410140.42334750004
2024-07-16,410140.42334750004
2024-07-17,410140.42334750004
2024-07-18,410038.58294750005
2024-07-19,393844.9829475
2024-07-22,440075.3829475
2024-07-23,421094.5829475
2024-07-24,398771.6889475
2024-07-25,398771.6889475
2024-07-26,398771.6889475
2024-07-29,398672.103385
2024-07-30,395973.55338500004
2024-07-31,401370.653385
2024-08-01,408540.95338500006
2024-08-02,433083.653385
2024-08-05,430890.403385
2024-08-06,365084.18231
2024-08-07,365084.18231
2024-08-08,365084.18231
2024-08-09,365084.18231
2024-08-12,365084.18231
2024-08-13,365084.18231
2024-08-14,365084.18231
2024-08-15,365084.18231
2024-08-16,365084.18231
2024-08-19,365084.18231
2024-08-20,365084.18231
2024-08-21,365084.18231
2024-08-22,365084.18231
2024-08-23,365084.18231
2024-08-26,365084.18231
2024-08-27,365084.18231
2024-08-28,365084.18231
2024-08-29,365084.18231
2024-08-30,365084.18231
2024-09-02,365084.18231
2024-09-03,365084.18231
2024-09-04,365084.18231
2024-09-05,365084.18231
2024-09-06,364993.089065
2024-09-09,355031.149065
2024-09-10,339544.96906500007
2024-09-11,335105.279065
2024-09-12,322436.93906500004
2024-09-13,317780.339065
2024-09-18,317780.339065
2024-09-19,323736.409065
2024-09-20,316697.779065
2024-09-23,318214.159065
2024-09-24,330341.219065
2024-09-25,338786.77906500007
2024-09-26,344852.2990650001
2024-09-27,391629.23906500003
2024-09-30,452702.33906500007
2024-10-08,510199.409065
2024-10-09,409405.54987000005
2024-10-10,409405.54987000005
2024-10-11,409303.7456675001
2024-10-14,423650.3856675001
2024-10-15,470559.33566750004
2024-10-16,456517.5056675001
2024-10-17,468829.58566750004
2024-10-18,482158.9456675001
2024-10-21,474018.83566750004
2024-10-22,475544.7556675001
2024-10-23,458755.8956675001
2024-10-24,432688.41216500005
2024-10-25,432688.41216500005
2024-10-28,432580.73240000004
2024-10-29,456988.0924
2024-10-30,458344.4524
2024-10-31,451758.4524
2024-11-01,447787.2724
2024-11-04,434131.11240000004
2024-11-05,440329.0724
2024-11-06,433937.0924000001
2024-11-07,451370.41240000003
2024-11-08,445752.73240000004
2024-11-11,459312.7724000001
2024-11-12,445752.73240000004
2024-11-13,446430.91240000003
2024-11-14,426284.87240000005
2024-11-15,427059.17240000004
2024-11-18,399350.61194000003
2024-11-19,399251.03082000004
2024-11-20,416284.1908200001
2024-11-21,413382.55082000006
2024-11-22,388945.9578400001
2024-11-25,388945.9578400001
2024-11-26,388945.9578400001
2024-11-27,388945.9578400001
2024-11-28,388945.9578400001
2024-11-29,388945.9578400001
2024-12-02,388945.9578400001
2024-12-03,388945.9578400001
