order_id,order_date,code,order_type,price,quantity,status,filled_price,filled_quantity,fee,reject_reason
709df660,2022-07-07,000957,buy,21.0462,4700,filled,21.0462,4700,24.729285,
2e0ab70b,2022-07-08,000957,sell,19.006,4700,filled,19.006,4700,66.99615,
ca6caadf,2022-07-12,000957,buy,20.3413,4400,filled,20.3413,4400,22.37543,
15a5cd0a,2022-07-19,000957,sell,22.768,4400,filled,22.768,4400,75.1344,
32ace56b,2022-07-25,000957,buy,19.006,5300,filled,19.006,5300,25.18295,
9a288d92,2022-08-02,000957,sell,17.0713,5300,filled,17.0713,5300,67.8584175,
b27e1dc9,2022-08-03,000957,buy,18.0676,5000,filled,18.0676,5000,22.584500000000002,
d9a92922,2022-08-04,000957,sell,17.0321,5000,filled,17.0321,5000,63.870374999999996,
4fc9c25c,2022-08-10,000957,buy,17.3607,4900,filled,17.3607,4900,21.266857500000004,
e99060c5,2022-08-19,000957,sell,17.3132,4900,filled,17.3132,4900,63.626009999999994,
7ed5252a,2022-08-22,000957,buy,17.9994,4700,filled,17.9994,4700,21.149295000000002,
5187d0b2,2022-08-26,000957,sell,17.4868,4700,filled,17.4868,4700,61.640969999999996,
3c707653,2022-09-20,000957,buy,16.3458,5000,filled,16.3458,5000,20.43225,
59bf581b,2022-09-22,000957,sell,16.1908,5000,filled,16.1908,5000,60.715500000000006,
0ad03635,2022-10-12,000957,buy,13.9357,5800,filled,13.9357,5800,20.206765,
98ea3e6f,2022-10-28,000957,sell,12.9787,5800,filled,12.9787,5800,56.45734500000001,
2c72bb5b,2022-10-31,000957,buy,13.4727,5600,filled,13.4727,5600,18.86178,
ae840898,2022-11-03,000957,sell,14.4586,5600,filled,14.4586,5600,60.72612000000001,
c59a67eb,2022-11-04,000957,buy,15.8415,5100,filled,15.8415,5100,20.197912499999997,
77fb3bf1,2023-03-13,000957,sell,11.4594,5100,filled,11.4594,5100,43.832205,
518d96ec,2023-05-10,000957,buy,11.3726,5100,filled,11.3726,5100,14.500065000000001,
8086e8bc,2024-01-31,000957,sell,7.6396,5100,filled,7.6396,5100,29.221469999999997,
be680b2d,2024-02-08,000957,buy,7.0774,5600,filled,7.0774,5600,9.90836,
b6f31183,2024-02-28,000957,sell,8.1812,5600,filled,8.1812,5600,34.36104,
9f9285dd,2024-02-29,000957,buy,8.7909,5200,filled,8.7909,5200,11.42817,
ce6635bf,2024-03-27,000957,sell,8.3837,5200,filled,8.3837,5200,32.69643,
3bb3c929,2024-03-28,000957,buy,8.7041,5000,filled,8.7041,5000,10.880125,
5455ae8f,2024-04-16,000957,sell,8.2783,5000,filled,8.2783,5000,31.043625,
b0a22d23,2024-04-17,000957,buy,8.762,4700,filled,8.762,4700,10.295350000000001,
d2165aa4,2024-05-16,000957,sell,11.3437,4700,filled,11.3437,4700,39.9865425,
0f12076e,2024-05-21,000957,buy,12.1188,4400,filled,12.1188,4400,13.330680000000001,
3e8eb792,2024-05-22,000957,sell,11.4016,4400,filled,11.4016,4400,37.625280000000004,
dcbd107b,2024-05-27,000957,buy,11.2093,4500,filled,11.2093,4500,12.610462500000002,
f33c15b0,2024-05-31,000957,sell,10.3867,4500,filled,10.3867,4500,35.05511249999999,
96846dea,2024-06-07,000957,buy,10.0952,4600,filled,10.0952,4600,11.60948,
9f31b444,2024-06-27,000957,sell,10.2172,4600,filled,10.2172,4600,35.249340000000004,
02010b86,2024-06-28,000957,buy,10.8352,4300,filled,10.8352,4300,11.64784,
31f203d7,2024-07-24,000957,sell,10.612,4300,filled,10.612,4300,34.2237,
61dc904d,2024-07-26,000957,buy,11.4842,4000,filled,11.4842,4000,11.4842,
6749c183,2024-08-05,000957,sell,11.3375,4000,filled,11.3375,4000,34.0125,
13df4cf7,2024-09-05,000957,buy,9.7996,4600,filled,9.7996,4600,11.26954,
6da46827,2024-10-09,000957,sell,10.6616,4600,filled,10.6616,4600,36.78252,
e9d2fb58,2024-10-22,000957,buy,10.9323,4500,filled,10.9323,4500,12.2988375,
1da6296f,2024-11-22,000957,sell,12.3627,4500,filled,12.3627,4500,41.724112500000004,
f48a997d,2024-11-29,000957,buy,13.0696,4200,filled,13.0696,4200,13.72308,
4f6e2324,2025-04-07,000957,sell,10.3329,4200,filled,10.3329,4200,32.548635000000004,
76dc408d,2025-04-10,000957,buy,10.2172,4300,filled,10.2172,4300,10.98349,
c695e527,2025-04-28,000957,sell,11.4636,4300,filled,11.4636,4300,36.97011,
45bafbe3,2025-05-06,000957,buy,11.8604,4100,filled,11.8604,4100,12.15691,
