date,net_value
2021-11-02,100000.0
2021-11-03,99975.0381575
2021-11-04,97798.3181575
2021-11-05,96711.5681575
2021-11-08,102773.2181575
2021-11-09,101374.1281575
2021-11-10,102773.2181575
2021-11-11,108369.5781575
2021-11-12,109147.2081575
2021-11-15,119716.85815750001
2021-11-16,131374.8681575
2021-11-17,144121.23815750002
2021-11-18,158266.6981575
2021-11-19,173811.24815750003
2021-11-22,190911.0581575
2021-11-23,209719.07815750001
2021-11-24,230394.6981575
2021-11-25,253089.2581575
2021-11-26,247025.99815750003
2021-11-29,271431.98815749993
2021-11-30,298167.6481575001
2021-12-01,327703.09815750003
2021-12-02,333610.1881575
2021-12-03,307263.853125
2021-12-06,307263.853125
2021-12-07,307263.853125
2021-12-08,307263.853125
2021-12-09,307187.15989500005
2021-12-10,299054.7598950001
2021-12-13,328616.51989500003
2021-12-14,361149.3598950001
2021-12-15,396967.5598950001
2021-12-16,409324.91989500006
2021-12-17,449834.6398950001
2021-12-20,494412.17989500007
2021-12-21,543524.099895
2021-12-22,597486.299895
2021-12-23,551087.66484
2021-12-24,550950.2308649999
2021-12-27,605593.0708649999
2021-12-28,650016.4708649999
2021-12-29,714593.5708649999
2021-12-30,785698.9408649999
2021-12-31,706966.6993049999
2022-01-04,706790.7644549999
2022-01-05,636297.2735549998
2022-01-06,636297.2735549998
2022-01-07,636139.3656224998
2022-01-10,647597.1456224999
2022-01-11,711615.9756224998
2022-01-12,782110.6056224998
2022-01-13,859580.2656224999
2022-01-14,944771.8656224998
2022-01-17,1038557.4456224999
2022-01-18,934732.7831174998
2022-01-19,934732.7831174998
2022-01-20,934499.7046574998
2022-01-21,840846.6769474999
2022-01-24,840846.6769474999
2022-01-25,840846.6769474999
2022-01-26,840846.6769474999
2022-01-27,840637.3509074999
2022-01-28,924051.4509075
2022-02-07,837930.3931925
2022-02-08,837721.6458425
2022-02-09,838262.0458425
2022-02-10,885570.8458425
2022-02-11,803463.2468425
2022-02-14,803463.2468425
2022-02-15,803263.31903
2022-02-16,842321.96903
2022-02-17,852261.71903
2022-02-18,936821.36903
2022-02-21,1029918.6190300001
2022-02-22,973052.7477675
2022-02-23,973052.7477675
2022-02-24,973052.7477675
2022-02-25,972810.1178925
2022-02-28,936169.6178925
2022-03-01,847336.8575175001
2022-03-02,847336.8575175001
2022-03-03,847336.8575175001
2022-03-04,847336.8575175001
2022-03-07,847336.8575175001
2022-03-08,847336.8575175001
2022-03-09,847125.5010650001
2022-03-10,875503.8110650001
2022-03-11,962572.6010650002
2022-03-14,967408.9210650001
2022-03-15,994336.0010650002
2022-03-16,984501.3710650002
2022-03-17,964184.1510650001
2022-03-18,934516.6010650002
2022-03-21,1020618.4610650002
2022-03-22,954117.3017200001
2022-03-23,953880.2009200001
2022-03-24,1048421.0009200001
2022-03-25,1005166.6009200002
2022-03-28,1096773.00092
2022-03-29,1172777.8009200003
2022-03-30,1252334.60092
2022-03-31,1176996.1021200004
2022-04-01,1176996.1021200004
2022-04-06,1176996.1021200004
2022-04-07,1176996.1021200004
2022-04-08,1176996.1021200004
2022-04-11,1176702.6754750004
2022-04-12,1293706.0254750005
2022-04-13,1422458.9354750002
2022-04-14,1564003.1854750002
2022-04-15,1407233.5369175004
2022-04-18,1407233.5369175004
2022-04-19,1407233.5369175004
2022-04-20,1407233.5369175004
2022-04-21,1406883.0942200003
2022-04-22,1457211.9542200007
2022-04-25,1417019.0942200006
2022-04-26,1292324.9801125005
2022-04-27,1292003.8069100005
2022-04-28,1235714.7969100007
2022-04-29,1358148.6269100008
2022-05-05,1364995.9669100007
2022-05-06,1344786.1069100006
2022-05-09,1284654.7669100007
2022-05-10,1242897.7569100007
2022-05-11,1228531.8369100008
2022-05-12,1257929.7269100007
2022-05-13,1196462.8269100008
2022-05-16,1200471.2369100007
2022-05-17,1162388.7469100007
2022-05-18,1176585.1269100006
2022-05-19,1130150.1969100006
2022-05-20,1156207.4569100006
2022-05-23,1149360.1169100006
2022-05-24,1070724.0684875008
2022-05-25,1070724.0684875008
2022-05-26,1070724.0684875008
2022-05-27,1070724.0684875008
2022-05-30,1070724.0684875008
2022-05-31,1070724.0684875008
2022-06-01,1070724.0684875008
2022-06-02,1070724.0684875008
2022-06-06,1070457.0806375009
2022-06-07,1164277.520637501
2022-06-08,1104612.1603775008
2022-06-09,1104337.3728975009
2022-06-10,1105185.6928975007
2022-06-13,1071881.2128975007
2022-06-14,1052679.6128975006
2022-06-15,1042142.4928975007
2022-06-16,1048091.2928975007
2022-06-17,1042313.2128975007
2022-06-20,1062533.8528975009
2022-06-21,1030588.0928975007
2022-06-22,1131694.8128975008
2022-06-23,1120990.4928975007
2022-06-24,1078507.6128975006
