date,net_value
2024-08-23,100000.0
2024-08-26,100000.0
2024-08-27,100000.0
2024-08-28,100000.0
2024-08-29,100000.0
2024-08-30,100000.0
2024-09-02,100000.0
2024-09-03,100000.0
2024-09-04,100000.0
2024-09-05,100000.0
2024-09-06,100000.0
2024-09-09,100000.0
2024-09-10,100000.0
2024-09-11,100000.0
2024-09-12,100000.0
2024-09-13,100000.0
2024-09-18,99975.45625
2024-09-19,104904.09625
2024-09-20,103481.19625000001
2024-09-23,105310.56625
2024-09-24,107698.38625
2024-09-25,107850.87625
2024-09-26,110289.18625000001
2024-09-27,117910.11625
2024-10-14,141078.39625
2024-10-15,168869.31625000003
2024-10-16,202198.32624999998
2024-10-17,242183.34625
2024-10-18,290195.25625
2024-10-21,347809.95625
2024-10-22,416957.79625
2024-10-23,499924.59625
2024-10-24,535641.93625
2024-10-25,528376.4762500001
2024-10-28,520450.56625
2024-10-29,494996.46625
2024-10-30,512626.65625
2024-10-31,509730.36624999996
2024-11-01,410858.7022975
2024-11-04,410858.7022975
2024-11-05,410858.7022975
2024-11-06,410858.7022975
2024-11-07,410858.7022975
2024-11-08,410756.88566749997
2024-11-11,394149.7712025
2024-11-12,394149.7712025
2024-11-13,394149.7712025
2024-11-14,394149.7712025
2024-11-15,394149.7712025
2024-11-18,394149.7712025
2024-11-19,394052.16876749997
2024-11-20,418152.3687674999
2024-11-21,393382.7241524999
2024-11-22,393382.7241524999
2024-11-25,393382.7241524999
2024-11-26,393382.7241524999
2024-11-27,393382.7241524999
2024-11-28,393382.7241524999
2024-11-29,393382.7241524999
2024-12-02,393382.7241524999
2024-12-03,393382.7241524999
2024-12-04,393382.7241524999
2024-12-05,393382.7241524999
2024-12-06,393382.7241524999
2024-12-09,393382.7241524999
2024-12-10,393382.7241524999
2024-12-11,393382.7241524999
2024-12-12,393382.7241524999
2024-12-13,393382.7241524999
2024-12-16,393382.7241524999
2024-12-17,393382.7241524999
2024-12-18,393382.7241524999
2024-12-19,393382.7241524999
2024-12-20,393382.7241524999
2024-12-23,393382.7241524999
2024-12-24,393382.7241524999
2024-12-25,393382.7241524999
2024-12-26,393382.7241524999
2024-12-27,393382.7241524999
2024-12-30,393382.7241524999
2024-12-31,393382.7241524999
2025-01-02,393382.7241524999
2025-01-03,393382.7241524999
2025-01-06,393382.7241524999
2025-01-07,393382.7241524999
2025-01-08,393382.7241524999
2025-01-09,393382.7241524999
2025-01-10,393382.7241524999
2025-01-13,393382.7241524999
2025-01-14,393284.91095249995
2025-01-15,393874.6909525
2025-01-16,389967.4909524999
2025-01-17,386288.4024275
2025-01-20,386288.4024275
2025-01-21,386288.4024275
2025-01-22,386288.4024275
2025-01-23,386288.4024275
2025-01-24,386288.4024275
2025-01-27,386288.4024275
2025-02-05,386288.4024275
2025-02-06,386288.4024275
2025-02-07,386192.5740825
2025-02-10,394963.2040825
2025-02-11,389021.9240825
2025-02-12,395811.65408249997
2025-02-13,389658.0840825
2025-02-14,380957.2627025
2025-02-17,380957.2627025
2025-02-18,380957.2627025
2025-02-19,380957.2627025
2025-02-20,380957.2627025
2025-02-21,380957.2627025
2025-02-24,380957.2627025
2025-02-25,380957.2627025
2025-02-26,380957.2627025
2025-02-27,380957.2627025
2025-02-28,380957.2627025
2025-03-03,380957.2627025
2025-03-04,380862.82775
2025-03-05,374882.59775
2025-03-06,380862.82775
2025-03-07,401277.85775
2025-03-10,406777.15775
2025-03-11,397566.34775
2025-03-12,397360.03775
