date,net_value
2024-10-25,100000.0
2024-10-28,100000.0
2024-10-29,100000.0
2024-10-30,99977.393755
2024-10-31,99464.75375500001
2024-11-01,81962.7352525
2024-11-04,81962.7352525
2024-11-05,81943.92658
2024-11-06,82753.38657999999
2024-11-07,84093.48658
2024-11-08,86638.68658
2024-11-11,83436.93658
2024-11-12,72738.8472025
2024-11-13,72738.8472025
2024-11-14,72738.8472025
2024-11-15,72738.8472025
2024-11-18,72738.8472025
2024-11-19,72720.7167025
2024-11-20,77197.5167025
2024-11-21,72596.37770249999
2024-11-22,72596.37770249999
2024-11-25,72596.37770249999
2024-11-26,72596.37770249999
2024-11-27,72596.37770249999
2024-11-28,72596.37770249999
2024-11-29,72596.37770249999
2024-12-02,72578.98417749998
2024-12-03,71499.68417749998
2024-12-04,69381.18417749998
2024-12-05,69980.78417749997
2024-12-06,69581.08417749997
2024-12-09,66942.98417749998
2024-12-10,67152.78417749998
2024-12-11,69031.48417749998
2024-12-12,67732.38417749997
2024-12-13,66163.48417749998
2024-12-16,66023.58417749999
2024-12-17,63165.58417749997
2024-12-18,64214.884177499975
2024-12-19,63435.384177499975
2024-12-20,64674.58417749997
2024-12-23,62036.384177499975
2024-12-24,61866.58417749997
2024-12-25,59688.08417749997
2024-12-26,58948.58417749997
2024-12-27,60437.58417749997
2024-12-30,58608.884177499975
2024-12-31,57719.48417749997
2025-01-02,57139.884177499975
2025-01-03,53804.05620249997
2025-01-06,53804.05620249997
2025-01-07,53804.05620249997
2025-01-08,53804.05620249997
2025-01-09,53804.05620249997
2025-01-10,53804.05620249997
2025-01-13,53804.05620249997
2025-01-14,53790.797252499964
2025-01-15,53870.69725249996
2025-01-16,53341.09725249996
2025-01-17,52881.397252499955
2025-01-20,52771.49725249996
2025-01-21,51572.39725249996
2025-01-22,50193.29725249996
2025-01-23,50033.397252499955
2025-01-24,50782.89725249996
2025-01-27,50782.89725249996
2025-02-05,52071.99725249996
2025-02-06,53141.197252499966
2025-02-07,54909.99725249996
2025-02-10,56149.09725249996
2025-02-11,55309.69725249996
2025-02-12,56268.99725249996
2025-02-13,55399.59725249996
2025-02-14,54210.49725249996
2025-02-17,55539.49725249996
2025-02-18,53191.19725249996
2025-02-19,53770.79725249996
2025-02-20,54800.09725249996
2025-02-21,55239.797252499964
2025-02-24,55709.39725249996
2025-02-25,54610.197252499966
2025-02-26,54310.39725249996
2025-02-27,52741.49725249996
2025-02-28,50742.89725249996
2025-03-03,53440.99725249996
2025-03-04,55669.49725249996
2025-03-05,54800.09725249996
2025-03-06,55669.49725249996
2025-03-07,58637.297252499964
2025-03-10,59436.797252499964
2025-03-11,58097.69725249996
