date,net_value
2022-05-12,100000.0
2022-05-13,99975.134705
2022-05-16,108801.26470500002
2022-05-17,118532.58470500002
2022-05-18,129164.87470500001
2022-05-19,140934.454705
2022-05-20,153765.364705
2022-05-23,167929.794705
2022-05-24,183543.794705
2022-05-25,200611.58470500002
2022-05-26,219523.514705
2022-05-27,240277.47470500003
2022-05-30,263033.82470500004
2022-05-31,288182.914705
2022-06-01,306191.764705
2022-06-10,302503.48470500007
2022-06-13,307487.304705
2022-06-14,319963.73470499995
2022-06-15,336677.044705
2022-06-16,329144.34470500005
2022-06-17,360885.07470500004
2022-06-20,395803.46470500005
2022-06-21,403886.87470499997
2022-07-06,364496.3929825
2022-07-07,364405.51410250005
2022-07-08,328921.54578250006
2022-07-11,328921.54578250006
2022-07-12,328839.65775750007
2022-07-13,340057.58775750006
2022-07-14,372909.45775750006
2022-07-15,387553.4477575001
2022-07-18,407492.2577575001
2022-07-19,367640.3869075001
2022-07-20,367640.3869075001
2022-07-21,367640.3869075001
2022-07-22,367640.3869075001
2022-07-25,367548.9136775001
2022-07-26,353024.7336775001
2022-07-27,341286.8336775001
2022-07-28,345384.9336775001
2022-07-29,343514.5736775001
2022-08-01,360825.0336775001
2022-08-02,330057.8674075001
2022-08-03,329975.7867275001
2022-08-04,310925.3384275001
2022-08-05,310925.3384275001
2022-08-08,310925.3384275001
2022-08-09,310925.3384275001
2022-08-10,310848.0308125001
2022-08-11,296378.19081250014
2022-08-12,302048.9108125001
2022-08-15,318100.77081250015
2022-08-16,329477.8508125001
2022-08-17,339785.7308125001
2022-08-18,337061.25081250013
2022-08-19,309769.30354750017
2022-08-22,309691.9853150002
2022-08-23,308377.90531500016
2022-08-24,316189.8053150002
2022-08-25,322156.64531500015
2022-08-26,300657.7173075002
2022-08-29,300657.7173075002
2022-08-30,300657.7173075002
2022-08-31,300657.7173075002
2022-09-01,300657.7173075002
2022-09-02,300657.7173075002
2022-09-05,300657.7173075002
2022-09-06,300657.7173075002
2022-09-07,300657.7173075002
2022-09-08,300657.7173075002
2022-09-09,300657.7173075002
2022-09-13,300657.7173075002
2022-09-14,300657.7173075002
2022-09-15,300657.7173075002
2022-09-16,300657.7173075002
2022-09-19,300657.7173075002
2022-09-20,300582.7233375002
2022-09-21,329526.2433375002
2022-09-22,297514.07577750017
2022-09-23,297514.07577750017
2022-09-26,297514.07577750017
2022-09-27,297514.07577750017
2022-09-28,297514.07577750017
2022-09-29,297514.07577750017
2022-09-30,297514.07577750017
2022-10-10,297514.07577750017
2022-10-11,297514.07577750017
2022-10-12,297439.7970150002
2022-10-13,290654.4870150002
2022-10-14,293562.4770150002
2022-10-17,299335.7970150002
2022-10-18,294576.8370150002
2022-10-19,299951.9970150002
2022-10-20,289817.8770150002
2022-10-21,283646.39701500017
2022-10-24,282413.9970150002
2022-10-25,287127.9270150002
2022-10-26,296823.59701500024
