date,net_value
2024-08-23,100000.0
2024-08-26,100000.0
2024-08-27,100000.0
2024-08-28,100000.0
2024-08-29,100000.0
2024-08-30,100000.0
2024-09-02,100000.0
2024-09-03,100000.0
2024-09-04,100000.0
2024-09-05,100000.0
2024-09-06,100000.0
2024-09-09,100000.0
2024-09-10,100000.0
2024-09-11,100000.0
2024-09-12,100000.0
2024-09-13,100000.0
2024-09-18,99975.45625
2024-09-19,104904.09625
2024-09-20,103481.19625000001
2024-09-23,105310.56625
2024-09-24,107698.38625
2024-09-25,107850.87625
2024-09-26,110289.18625000001
2024-09-27,117910.11625
2024-10-14,141078.39625
2024-10-15,168869.31625000003
2024-10-16,202198.32624999998
2024-10-17,242183.34625
2024-10-18,290195.25625
2024-10-21,347809.95625
2024-10-22,416957.79625
2024-10-23,499924.59625
2024-10-24,535641.93625
