date,net_value
2021-12-03,100000.0
2021-12-06,100000.0
2021-12-07,100000.0
2021-12-08,100000.0
2021-12-09,99975.2628325
2021-12-10,97351.82283249998
2021-12-13,106886.78283249999
2021-12-14,117380.54283249998
2021-12-15,128933.57283249998
2021-12-16,132919.2228325
2021-12-17,145985.42283250001
2021-12-20,160363.8528325
2021-12-21,176204.9628325
2021-12-22,193610.24283249996
2021-12-23,178644.59934249998
2021-12-24,178600.53663249998
2021-12-27,196119.63663249998
2021-12-28,210362.1566325
2021-12-29,231066.29663249996
2021-12-30,253863.8966325
2021-12-31,228621.30555249998
2022-01-04,228564.65379249997
2022-01-05,205865.56804249997
2022-01-06,205865.56804249997
2022-01-07,205815.40184249997
2022-01-10,209455.80184249996
2022-01-11,229793.80184249996
2022-01-12,252189.40184249997
2022-01-13,276801.00184249994
2022-01-14,303865.8018424999
2022-01-17,333661.00184249994
2022-01-18,300676.3911425
2022-01-19,300676.3911425
2022-01-20,300603.20960249996
2022-01-21,271198.0106525
2022-01-24,271198.0106525
2022-01-25,271198.0106525
2022-01-26,271198.0106525
2022-01-27,271131.1636925
2022-01-28,297768.2836925
2022-02-07,270266.3214125
2022-02-08,270199.1038225
2022-02-09,270372.90382249997
2022-02-10,285607.02382249996
2022-02-11,259167.4996125
2022-02-14,259167.4996125
2022-02-15,259103.92923749998
2022-02-16,271523.4792375
2022-02-17,274684.2792374999
2022-02-18,301570.8792375
2022-02-21,331173.2292375
2022-02-22,313091.25408750004
2022-02-23,313091.25408750004
2022-02-24,313091.25408750004
2022-02-25,313013.362985
2022-02-28,301250.67298499995
2022-03-01,272732.8473525
2022-03-02,272732.8473525
2022-03-03,272732.8473525
2022-03-04,272732.8473525
2022-03-07,272732.8473525
2022-03-08,272732.8473525
2022-03-09,272665.41947250004
2022-03-10,281718.61947250005
2022-03-11,309495.97947250004
2022-03-14,311038.81947250006
2022-03-15,319629.21947250003
2022-03-16,316491.5394725
2022-03-17,310010.2594725
2022-03-18,300545.7394725
2022-03-21,328013.6994725
2022-03-22,306798.9646325
2022-03-23,306723.0508825
2022-03-24,336992.55088249996
2022-03-25,323143.5508825
2022-03-28,352474.0508825001
2022-03-29,376808.55088249996
2022-03-30,402280.5508825
2022-03-31,378159.02150750003
2022-04-01,378159.02150750003
2022-04-06,378159.02150750003
2022-04-07,378159.02150750003
2022-04-08,378159.02150750003
2022-04-11,378064.9686675
2022-04-12,415568.1686675
2022-04-13,456837.9286675001
2022-04-14,502206.8886675
2022-04-15,451957.37746750005
2022-04-18,451957.37746750005
2022-04-19,451957.37746750005
2022-04-20,451957.37746750005
2022-04-21,451846.29040750006
2022-04-22,467800.1304075
2022-04-25,455059.5704075001
2022-04-26,415532.59480750014
2022-04-27,415429.88208250015
2022-04-28,397428.4420825001
2022-04-29,436583.30208250013
2022-05-05,438773.5420825002
2022-05-06,432309.74208250013
2022-05-09,413079.80208250013
2022-05-10,399725.06208250014
2022-05-11,395131.2820825001
2022-05-12,404532.68208250013
2022-05-13,384875.06208250014
2022-05-16,386157.0220825001
2022-05-17,373977.8620825001
2022-05-18,378518.7220825001
2022-05-19,363668.7220825001
2022-05-20,372001.46208250016
2022-05-23,369811.76208250015
2022-05-24,344663.5871875001
2022-05-25,344663.5871875001
2022-05-26,344663.5871875001
2022-05-27,344663.5871875001
2022-05-30,344663.5871875001
2022-05-31,344663.5871875001
2022-06-01,344663.5871875001
2022-06-02,344663.5871875001
2022-06-06,344578.3847275001
2022-06-07,374518.77472750004
2022-06-08,355478.99390500004
2022-06-09,355391.01384250005
2022-06-10,355662.7138425
2022-06-13,344999.31384250004
2022-06-14,338851.4138425
2022-06-15,335478.26384250005
2022-06-16,337382.3638425
2022-06-17,335532.1638425001
2022-06-20,342006.76384250005
2022-06-21,331778.4138425001
2022-06-22,364150.3138425001
2022-06-23,360722.7138425
2022-06-24,347121.21384250006
2022-06-27,341245.01384250005
2022-06-28,337436.81384250004
2022-06-29,331016.6638425001
2022-06-30,334988.21384250006
2022-07-01,332485.71384250006
2022-07-04,345434.3638425
2022-07-05,341027.76384250005
2022-07-06,338796.96384250006
2022-07-07,339286.46384250006
2022-07-08,339123.1138425001
2022-07-11,349841.51384250005
2022-07-12,338796.96384250006
2022-07-13,340320.4638425
2022-07-14,348318.01384250005
2022-07-15,326150.07271750004
2022-07-18,326150.07271750004
2022-07-19,326150.07271750004
