order_id,order_date,code,order_type,price,quantity,status,filled_price,filled_quantity,fee,reject_reason
b5a9908b,2022-05-13,000957,buy,4.7138,21100,filled,4.7138,21100,24.865295,
e30ce0ab,2022-07-06,000957,sell,17.2633,21100,filled,17.2633,21100,273.19172249999997,
bdee7e53,2022-07-07,000957,buy,18.9331,19200,filled,18.9331,19200,90.87888000000001,
162e9103,2022-07-08,000957,sell,17.0978,19200,filled,17.0978,19200,246.20832000000001,
1c41887b,2022-07-12,000957,buy,18.299,17900,filled,18.299,17900,81.888025,
80632048,2022-07-19,000957,sell,20.482,17900,filled,20.482,17900,274.97085,
74f10129,2022-07-25,000957,buy,17.0978,21400,filled,17.0978,21400,91.47323,
0f1100f1,2022-08-02,000957,sell,15.3574,21400,filled,15.3574,21400,246.48627,
0441b789,2022-08-03,000957,buy,16.2536,20200,filled,16.2536,20200,82.08068,
e0dbc493,2022-08-04,000957,sell,15.322,20200,filled,15.322,20200,232.12829999999997,
3436d7c7,2022-08-10,000957,buy,15.6177,19800,filled,15.6177,19800,77.307615,
ac55bed1,2022-08-19,000957,sell,15.5749,19800,filled,15.5749,19800,231.28726500000005,
76e0893e,2022-08-22,000957,buy,16.1923,19100,filled,16.1923,19100,77.3182325,
4792d96e,2022-08-26,000957,sell,15.7311,19100,filled,15.7311,19100,225.34800750000002,
753e40de,2022-09-20,000957,buy,14.7047,20400,filled,14.7047,20400,74.99397,
e45befce,2022-09-22,000957,sell,14.5652,20400,filled,14.5652,20400,222.84756000000002,
6c863052,2022-10-12,000957,buy,12.5365,23700,filled,12.5365,23700,74.2787625,
0726496d,2022-10-28,000957,sell,11.6756,23700,filled,11.6756,23700,207.53378999999995,
e5b73d84,2022-10-31,000957,buy,12.12,22800,filled,12.12,22800,69.084,
2037fe66,2022-11-03,000957,sell,13.007,22800,filled,13.007,22800,222.41969999999998,
d270e6dd,2022-11-04,000957,buy,14.251,20800,filled,14.251,20800,74.1052,
02d4a6e0,2023-03-13,000957,sell,10.3089,20800,filled,10.3089,20800,160.81884,
81daa863,2023-05-10,000957,buy,10.2308,20900,filled,10.2308,20900,53.45593,
ad9ce0b1,2024-01-31,000957,sell,6.8726,20900,filled,6.8726,20900,107.728005,
5195ba0b,2024-02-08,000957,buy,6.3668,22600,filled,6.3668,22600,35.97242,
dbcdb9d0,2024-02-28,000957,sell,7.3598,22600,filled,7.3598,22600,124.74861000000001,
81237850,2024-02-29,000957,buy,7.9083,21000,filled,7.9083,21000,41.518575,
c6ae178b,2024-03-27,000957,sell,7.542,21000,filled,7.542,21000,118.7865,
100eab56,2024-03-28,000957,buy,7.8302,20200,filled,7.8302,20200,39.54250999999999,
949b649d,2024-04-16,000957,sell,7.4472,20200,filled,7.4472,20200,112.82508000000001,
41e144de,2024-04-17,000957,buy,7.8823,19100,filled,7.8823,19100,37.6379825,
1c57189b,2024-05-16,000957,sell,10.2048,19100,filled,10.2048,19100,146.18376,
126a79e5,2024-05-21,000957,buy,10.9021,17800,filled,10.9021,17800,48.514345,
1ddc0fd9,2024-05-22,000957,sell,10.2568,17800,filled,10.2568,17800,136.92828,
36fc5b93,2024-05-27,000957,buy,10.0839,18100,filled,10.0839,18100,45.6296475,
a633bce8,2024-05-31,000957,sell,9.3438,18100,filled,9.3438,18100,126.842085,
fce49697,2024-06-07,000957,buy,9.0816,18600,filled,9.0816,18600,42.229440000000004,
aac324f1,2024-06-27,000957,sell,9.1914,18600,filled,9.1914,18600,128.22003,
98f426ca,2024-06-28,000957,buy,9.7473,17500,filled,9.7473,17500,42.6444375,
2e99a896,2024-07-24,000957,sell,9.5465,17500,filled,9.5465,17500,125.29781249999999,
b433b095,2024-07-26,000957,buy,10.3312,16200,filled,10.3312,16200,41.84136,
62713bb3,2024-08-05,000957,sell,10.1992,16200,filled,10.1992,16200,123.92027999999999,
b985f3ff,2024-09-05,000957,buy,8.8157,18700,filled,8.8157,18700,41.2133975,
88eafcaa,2024-10-09,000957,sell,9.5911,18700,filled,9.5911,18700,134.51517750000002,
8413890d,2024-10-22,000957,buy,9.8347,18200,filled,9.8347,18200,44.747885000000004,
a23426de,2024-11-22,000957,sell,11.1215,18200,filled,11.1215,18200,151.808475,
5cc44aa2,2024-11-29,000957,buy,11.7574,17200,filled,11.7574,17200,50.55682,
36fa405d,2025-04-07,000957,sell,9.2955,17200,filled,9.2955,17200,119.91194999999999,
9277490a,2025-04-10,000957,buy,9.1914,17400,filled,9.1914,17400,39.982589999999995,
fda6b73f,2025-04-28,000957,sell,10.3126,17400,filled,10.3126,17400,134.57943,
72d967de,2025-05-06,000957,buy,10.6696,16800,filled,10.6696,16800,44.81232000000001,
