date,net_value
2024-04-01,100000.0
2024-04-02,99975.14088
2024-04-03,98476.30088
2024-04-08,94554.30088
2024-04-09,105281.50087999999
2024-04-10,114740.94088
2024-04-11,136082.98088
2024-04-12,161807.06088
2024-04-15,178996.02087999997
2024-04-16,201951.38088
2024-04-17,215563.90087999997
2024-04-18,245555.54088
2024-04-19,264591.02087999997
2024-04-22,283162.22088
2024-04-23,260473.92311000003
2024-04-24,260409.09730500003
2024-04-25,250762.00730500004
2024-04-26,271986.787305
2024-04-29,324834.00730500004
2024-04-30,370392.227305
2024-05-06,442854.737305
2024-05-14,426883.94730500004
2024-05-15,510709.41730500007
