date,net_value
2024-09-06,100000.0
2024-09-09,100000.0
2024-09-10,100000.0
2024-09-11,99975.1453625
2024-09-12,98441.74536249999
2024-09-13,96579.99536249999
2024-09-18,106383.19536249999
2024-09-19,111695.0953625
2024-09-20,110161.6953625
2024-09-23,112133.44536249999
2024-09-24,114707.44536249999
2024-09-25,114871.8953625
2024-09-26,117500.3453625
2024-09-27,125715.1453625
2024-10-14,150688.4453625
2024-10-15,180645.8453625
2024-10-16,216572.39536249998
2024-10-17,259673.14536249998
2024-10-18,311427.0453625
2024-10-21,373531.9453625
2024-10-22,448068.49536249996
2024-10-23,537501.7953625
2024-10-24,576002.3453625
2024-10-25,568170.8953625001
2024-10-28,559627.1953624999
2024-10-29,532189.3453625
2024-10-30,551192.9453624999
2024-10-31,548071.6953624999
2024-11-01,441494.49372499995
2024-11-04,441494.49372499995
2024-11-05,441386.2068449999
2024-11-06,446045.92684499995
2024-11-07,453761.16684499994
2024-11-08,468414.7668449999
2024-11-11,449981.28684499994
2024-11-12,388390.0393349999
2024-11-13,388390.0393349999
2024-11-14,388390.0393349999
2024-11-15,388390.0393349999
2024-11-18,388390.0393349999
2024-11-19,388294.2886074999
2024-11-20,411937.0586074999
2024-11-21,387637.9034824998
2024-11-22,387637.9034824998
2024-11-25,387637.9034824998
2024-11-26,387637.9034824998
2024-11-27,387637.9034824998
2024-11-28,387637.9034824998
2024-11-29,387637.9034824998
2024-12-02,387542.5785824998
2024-12-03,381627.8785824998
2024-12-04,370017.37858249975
2024-12-05,373303.62858249975
2024-12-06,371112.9785824998
2024-12-09,356654.57858249976
2024-12-10,357804.62858249975
2024-12-11,368100.62858249975
2024-12-12,360981.4285824998
2024-12-13,352382.7285824998
2024-12-16,351616.02858249977
2024-12-17,335953.12858249975
2024-12-18,341703.3785824998
2024-12-19,337431.52858249977
2024-12-20,344222.9285824998
2024-12-23,329764.52858249977
2024-12-24,328833.3785824998
2024-12-25,316894.52858249977
2024-12-26,312841.57858249976
2024-12-27,321001.9285824998
2024-12-30,310979.82858249976
2024-12-31,306105.7285824998
2025-01-02,302928.9285824998
2025-01-03,284647.5184574998
2025-01-06,284647.5184574998
2025-01-07,284647.5184574998
2025-01-08,284647.5184574998
2025-01-09,284647.5184574998
2025-01-10,284647.5184574998
2025-01-13,284647.5184574998
2025-01-14,284577.4953874998
2025-01-15,284999.9053874998
2025-01-16,282202.5653874998
2025-01-17,279775.1653874998
2025-01-20,279194.81538749975
2025-01-21,272861.8453874998
2025-01-22,265578.58538749977
2025-01-23,264734.29538749973
2025-01-24,268692.33538749977
2025-01-27,268692.33538749977
2025-02-05,275500.1853874998
2025-02-06,281147.33538749977
2025-02-07,290488.58538749977
2025-02-10,297032.4953874998
2025-02-11,292599.57538749976
2025-02-12,297665.8453874998
2025-02-13,293074.45538749977
2025-02-14,286793.95538749977
2025-02-17,293813.2753874998
2025-02-18,281411.2753874998
2025-02-19,284472.0253874998
2025-02-20,289907.70538749977
2025-02-21,292230.1653874998
2025-02-24,294710.5653874998
2025-02-25,288904.94538749976
2025-02-26,287321.83538749977
2025-02-27,279036.3453874998
2025-02-28,268481.39538749977
2025-03-03,282730.44538749976
2025-03-04,294499.0953874998
2025-03-05,289907.70538749977
2025-03-06,294499.0953874998
2025-03-07,310173.31538749975
2025-03-10,314395.29538749973
2025-03-11,307323.50538749975
2025-03-12,307165.0353874998
2025-03-13,292599.57538749976
2025-03-14,298087.7253874998
2025-03-17,300304.1853874998
2025-03-18,297401.9053874998
2025-03-19,296504.6153874998
2025-03-20,296135.20538749977
2025-03-21,284472.0253874998
2025-03-24,279775.1653874998
2025-03-25,277822.64538749977
2025-03-26,284208.08538749977
2025-03-27,278983.3453874998
2025-03-28,271911.55538749974
2025-03-31,266898.2853874998
2025-04-01,270697.8553874998
2025-04-02,269800.56538749975
2025-04-03,262464.83538749977
2025-04-07,210801.93170999974
2025-04-08,210749.35470999975
2025-04-09,214067.14470999973
2025-04-10,220019.66470999975
2025-04-11,226216.20470999976
2025-04-14,218409.52470999977
2025-04-15,216945.89470999976
2025-04-16,212066.96470999974
2025-04-17,210407.82470999972
2025-04-18,209236.72470999975
2025-04-21,215726.28470999975
2025-04-22,213042.55470999973
2025-04-23,215628.77470999974
2025-04-24,211286.39470999976
2025-04-25,213286.57470999975
2025-04-28,209383.23470999973
2025-04-29,211383.90470999977
2025-04-30,214896.71470999974
2025-05-06,220751.72470999975
2025-05-07,222020.33470999973
2025-05-08,226655.73470999976
2025-05-09,221093.25470999975
2025-05-12,225387.12470999974
2025-05-13,220898.23470999976
2025-05-14,220410.19470999975
2025-05-15,216360.34470999974
2025-05-16,218019.48470999976
2025-05-19,261443.77470999974
2025-05-20,273446.8147099998
2025-05-21,255738.67800499976
2025-05-22,255738.67800499976
2025-05-23,255675.13275499977
2025-05-26,259210.13275499977
2025-05-27,247759.13275499977
2025-05-28,241635.13275499977
2025-05-29,243925.13275499974
2025-05-30,238548.13275499977
2025-06-03,234963.63275499977
2025-06-04,236308.13275499977
2025-06-05,238797.13275499977
2025-06-06,236656.63275499977
2025-06-09,239942.63275499977
2025-06-10,233420.13275499977
2025-06-11,233669.13275499977
2025-06-12,230881.13275499977
2025-06-13,232723.13275499977
2025-06-16,235760.13275499977
2025-06-17,238747.63275499977
2025-06-18,235362.13275499977
2025-06-19,229138.63275499977
2025-06-20,227396.13275499977
2025-06-23,231428.63275499977
2025-06-24,235461.63275499977
2025-06-25,238100.13275499977
2025-06-26,234615.13275499977
2025-06-27,237253.63275499977
2025-06-30,221554.96325499978
2025-07-01,221554.96325499978
2025-07-02,221554.96325499978
2025-07-03,221554.96325499978
